phone_id,location_date,latitude,longitude
33,2022-11-01 00:41:31.0,39.5103876000,2.4732732000
50,2022-11-01 00:41:45.0,39.5118610300,2.4687361600
23,2022-11-01 00:41:56.0,39.5097871500,2.5327617200
14,2022-11-01 00:42:11.0,39.5096831000,2.5329624000
33,2022-11-01 00:42:34.0,39.5134050000,2.4798015000
50,2022-11-01 00:42:49.0,39.5119779800,2.4688714600
23,2022-11-01 00:43:00.0,39.5097054600,2.5328980400
14,2022-11-01 00:43:14.0,39.5097578000,2.5328976000
33,2022-11-01 00:43:37.0,39.5171475000,2.4866177000
50,2022-11-01 00:43:53.0,39.5119889500,2.4688555800
23,2022-11-01 00:44:03.0,39.5097048900,2.5328577100
14,2022-11-01 00:44:16.0,39.5096583000,2.5329205000
33,2022-11-01 00:44:40.0,39.5204393000,2.4921045000
50,2022-11-01 00:44:57.0,39.5118340600,2.4686155500
23,2022-11-01 00:45:07.0,39.5096962000,2.5328419200
14,2022-11-01 00:45:19.0,39.5097282000,2.5329691000
33,2022-11-01 00:45:42.0,39.5259310000,2.4921045000
23,2022-11-01 00:46:11.0,39.5097647000,2.5327765300
14,2022-11-01 00:46:22.0,39.5096725000,2.5328786000
33,2022-11-01 00:46:44.0,39.5269390000,2.4866480000
23,2022-11-01 00:47:15.0,39.5097268100,2.5329348700
14,2022-11-01 00:47:24.0,39.5097856000,2.5330501000
33,2022-11-01 00:47:46.0,39.5266829000,2.4865886000
23,2022-11-01 00:48:18.0,39.5096984500,2.5328231400
14,2022-11-01 00:48:27.0,39.5096197000,2.5329852000
33,2022-11-01 00:48:48.0,39.5267031000,2.4865916000
23,2022-11-01 00:49:21.0,39.5097496700,2.5328153900
14,2022-11-01 00:49:30.0,39.5078759000,2.5322071000
33,2022-11-01 00:49:50.0,39.5267031000,2.4865916000
23,2022-11-01 00:50:24.0,39.5097321000,2.5327994500
14,2022-11-01 00:50:32.0,39.5082980000,2.5293966000
33,2022-11-01 00:50:52.0,39.5266882000,2.4865886000
23,2022-11-01 00:51:27.0,39.5090884700,2.5327306100
14,2022-11-01 00:51:34.0,39.5099804000,2.5306242000
33,2022-11-01 00:51:54.0,39.5265079000,2.4865886000
23,2022-11-01 00:52:31.0,39.5077123300,2.5315830400
14,2022-11-01 00:52:37.0,39.5118662000,2.5301613000
33,2022-11-01 00:52:56.0,39.5267315000,2.4866020000
23,2022-11-01 00:53:35.0,39.5093625600,2.5303412300
14,2022-11-01 00:53:39.0,39.5099497000,2.5307820000
33,2022-11-01 00:53:58.0,39.5267246000,2.4865956000
50,2022-11-01 00:53:58.0,39.5119413300,2.4687409900
23,2022-11-01 00:54:38.0,39.5106474500,2.5293686400
14,2022-11-01 00:54:41.0,39.5099706000,2.5307712000
33,2022-11-01 00:54:59.0,39.5267399000,2.4865956000
50,2022-11-01 00:55:02.0,39.5119410200,2.4686473600
23,2022-11-01 00:55:42.0,39.5104503700,2.5297972100
14,2022-11-01 00:55:43.0,39.5094008000,2.5307002000
50,2022-11-01 00:56:05.0,39.5118754500,2.4687108500
33,2022-11-01 00:56:23.0,39.5267178000,2.4865946000
23,2022-11-01 00:56:45.0,39.5098933600,2.5297992600
14,2022-11-01 00:56:45.0,39.5095018000,2.5290769000
50,2022-11-01 00:57:10.0,39.5118301700,2.4687209500
33,2022-11-01 00:57:25.0,39.5267031000,2.4865916000
14,2022-11-01 00:57:47.0,39.5113005000,2.5264471000
23,2022-11-01 00:57:48.0,39.5095756600,2.5295800200
50,2022-11-01 00:58:13.0,39.5119119700,2.4686286100
33,2022-11-01 00:58:27.0,39.5267031000,2.4865916000
14,2022-11-01 00:58:49.0,39.5113005000,2.5264471000
23,2022-11-01 00:58:51.0,39.5096966300,2.5293316300
50,2022-11-01 00:59:18.0,39.5119035900,2.4685796000
33,2022-11-01 00:59:29.0,39.5266786000,2.4865879000
14,2022-11-01 00:59:51.0,39.5113005000,2.5264471000
23,2022-11-01 00:59:54.0,39.5097175700,2.5294560800
50,2022-11-01 01:00:22.0,39.5118968400,2.4685498300
33,2022-11-01 01:00:31.0,39.5266882000,2.4865886000
14,2022-11-01 01:00:53.0,39.5095018000,2.5290769000
23,2022-11-01 01:00:57.0,39.5096700300,2.5293770900
50,2022-11-01 01:01:25.0,39.5118323700,2.4685852700
33,2022-11-01 01:01:33.0,39.5267441000,2.4840851000
14,2022-11-01 01:01:55.0,39.5094862000,2.5290698000
23,2022-11-01 01:01:59.0,39.5097701000,2.5293138400
50,2022-11-01 01:02:30.0,39.5118448300,2.4686706800
33,2022-11-01 01:02:36.0,39.5236077000,2.4904561000
14,2022-11-01 01:02:57.0,39.5094964000,2.5290699000
23,2022-11-01 01:03:03.0,39.5097033200,2.5293748000
50,2022-11-01 01:03:35.0,39.5119705600,2.4687238600
33,2022-11-01 01:03:38.0,39.5225457000,2.5143779000
14,2022-11-01 01:03:58.0,39.5113005000,2.5264471000
23,2022-11-01 01:04:06.0,39.5097034100,2.5293426300
33,2022-11-01 01:04:40.0,39.5184469000,2.5215536000
50,2022-11-01 01:04:40.0,39.5119208400,2.4690360900
